codigo;acao;tipo;qtde_teorica;participacao_pct
TTEN3;3TENTOS;ON      NM;197.829.830;0,316
AERI3;AERIS;ON      NM;50.488.135;0,015
ALOS3;ALLOS;ON      NM;667.559.139;2,230
ABEV3;AMBEV S/A;ON;1.341.987.445;2,049
ASAI3;ASSAI;ON      NM;2.331.549.589;2,221
AURE3;AUREN;ON      NM;554.475.346;0,808
AXIA3;AXIA ENERGIA;ON      N1;386.196.964;2,462
AXIA7;AXIA ENERGIA;PNC     N1;101.507.194;0,620
AZZA3;AZZAS 2154;ON      NM;230.676.721;0,503
B3SA3;B3;ON      NM;1.618.996.161;3,108
BBDC4;BRADESCO;PN      N1;1.196.398.214;2,509
BBAS3;BRASIL;ON      NM;1.060.046.835;2,567
BRKM5;BRASKEM;PNA     N1;463.028.116;0,415
BPAC11;BTGP BANCO;UNT     N2;477.166.033;3,052
CAML3;CAMIL;ON      NM;167.475.259;0,112
BHIA3;CASAS BAHIA;ON      NM;165.559.831;0,047
CBAV3;CBA;ON      NM;355.977.788;0,378
CEAB3;CEA MODAS;ON      NM;357.003.223;0,462
CMIG4;CEMIG;PN      N1;1.982.829.979;2,715
COGN3;COGNA ON;ON      NM;3.334.891.701;1,098
CSMG3;COPASA;ON      NM;328.273.104;1,900
CPLE3;COPEL;ON      NM;1.664.529.058;2,806
CSAN3;COSAN;ON      NM;3.139.668.875;1,659
CPFE3;CPFL ENERGIA;ON      NM;326.996.900;1,807
CYRE3;CYRELA REALT;ON      NM;446.001.111;1,235
CYRE4;CYRELA REALT;PN      NM;84.554.377;0,213
DXCO3;DEXCO;ON      NM;576.118.699;0,326
ECOR3;ECORODOVIAS;ON      NM;572.975.286;0,572
ENEV3;ENEVA;ON      NM;918.087.859;2,499
EGIE3;ENGIE BRASIL;ON      NM;622.375.823;2,323
EQTL3;EQUATORIAL;ON      NM;535.164.085;2,405
FLRY3;FLEURY;ON      NM;778.810.678;1,296
GFSA3;GAFISA;ON      NM;19.371.961;0,003
HBSA3;HIDROVIAS;ON      NM;1.065.168.489;0,390
HYPE3;HYPERA;ON      NM;573.077.093;1,343
IGTI11;IGUATEMI S.A;UNT ED  N1;368.218.820;1,104
MYPK3;IOCHP-MAXION;ON      NM;241.516.433;0,253
RANI3;IRANI;ON      NM;171.993.461;0,153
ISAE4;ISA ENERGIA;PN  ED  N1;689.392.927;2,120
ITSA4;ITAUSA;PN      N1;1.874.213.042;2,755
ITUB4;ITAUUNIBANCO;PN      N1;559.605.754;2,588
JSLG3;JSL;ON      NM;109.910.714;0,088
KLBN11;KLABIN S/A;UNT     N2;1.181.702.055;2,211
LREN3;LOJAS RENNER;ON      NM;1.694.307.235;2,560
MDIA3;M.DIASBRANCO;ON      NM;112.987.046;0,266
MGLU3;MAGAZ LUIZA;ON      NM;649.965.373;0,606
MBRF3;MARFRIG;ON      NM;1.033.376.041;2,017
BEEF3;MINERVA;ON      NM;764.668.645;0,315
MTRE3;MITRE REALTY;ON      NM;109.152.581;0,043
MOTV3;MOTIVA SA;ON  ED  NM;1.346.464.199;2,335
MOVI3;MOVIDA;ON      NM;252.356.520;0,363
MRVE3;MRV;ON      NM;652.608.982;0,499
NATU3;NATURA;ON      NM;1.460.270.588;1,483
OPCT3;OCEANPACT;ON  ED  NM;219.822.689;0,227
ODPV3;ODONTOPREV;ON      NM;438.426.721;0,682
PSSA3;PORTO SEGURO;ON      NM;315.290.597;1,742
PTBL3;PORTOBELLO;ON      NM;78.032.145;0,019
LJQQ3;QUERO-QUERO;ON      NM;339.957.011;0,074
RADL3;RAIADROGASIL;ON      NM;930.713.969;2,168
RDOR3;REDE D OR;ON      NM;431.366.080;1,697
RIAA3;RIACHUELO;ON      NM;144.102.592;0,150
RAIL3;RUMO S.A.;ON      NM;1.373.413.336;2,256
SBSP3;SABESP;ON      NM;124.297.014;2,182
SAPR11;SANEPAR;UNT     N2;350.243.349;1,472
SANB11;SANTANDER BR;UNT EJ;627.646.961;1,951
SIMH3;SIMPAR;ON      NM;270.194.316;0,346
SLCE3;SLC AGRICOLA;ON      NM;387.352.649;0,690
VIVT3;TELEF BRASIL;ON;727.699.105;2,976
TIMS3;TIM;ON      NM;1.059.479.784;2,837
UGPA3;ULTRAPAR;ON      NM;812.046.607;2,419
USIM5;USIMINAS;PNA ATZ N1;897.198.732;0,651
VAMO3;VAMOS;ON      NM;780.352.809;0,356
VBBR3;VIBRA;ON      NM;752.431.119;2,503
WEGE3;WEG;ON      NM;381.316.956;1,844
YDUQ3;YDUQS PART;ON      NM;455.220.284;0,535
